Time,Block Height,Hook Load,WOB,Torque,Flow In,Pump Pressure,RPM,ROP,Evento
2014-01-13 05:01:54,8.388971827791954,47.980559595424694,22.070753641186027,0.6313914759153454,0.0,0.0,8.516159987896254,1.8373939169982123,Evento 8
2014-01-13 05:01:57,8.286267502476829,48.07392636573597,22.379199774369937,0.6536733507615662,0.0,0.0,8.518816874134332,1.8387489740811886,Evento 8
2014-01-13 05:02:00,8.200766064420076,48.16807416994371,23.824835980605986,0.6754327193417864,0.0,0.0,8.520856551096609,1.838951925985538,Evento 8
2014-01-13 05:02:03,8.136898159306964,48.26432816699412,25.134916740803998,0.6964688871718836,0.0,0.0,8.466860010546194,1.8398699488166126,Evento 8
2014-01-13 05:02:06,8.095336387519946,48.35827843664481,26.111329442421045,0.7166160342167903,0.0,0.0,8.365598810139359,1.8400517598975923,Evento 8
2014-01-13 05:02:09,8.073258403980384,48.433820764648274,27.142501604184076,0.7357432148904927,0.0,0.0,8.31312600287934,1.8403477314247687,Evento 8
2014-01-13 05:02:12,8.065072189544,48.47929468162338,28.323081291591876,0.753754358056032,0.0,0.0,8.283768569013173,1.8405802804818356,Evento 8
2014-01-13 05:02:15,8.064100494144103,48.49521247889456,29.481854248162072,0.7705882670255034,0.0,0.0,8.253245155853836,1.8408255140329242,Evento 8
2014-01-13 05:02:18,8.06446978109317,48.4940059642891,30.24101149823404,0.7863289025467108,0.0,0.0,8.297823428706337,1.841058063089991,Evento 8
2014-01-13 05:02:21,8.064359242966594,48.4916091671208,30.2814888526723,0.8009196824846709,0.0,0.0,8.513002314225277,1.8409777279611863,Evento 8
2014-01-13 05:02:24,8.06508020996386,48.49217523946756,29.953046868970922,0.8133433233993482,0.0,0.0,8.889468711960317,1.8412102770182532,Evento 8
2014-01-13 05:02:27,8.064968303212146,48.4926460954458,29.490842205685425,0.8234758658956236,0.0,0.0,9.345893493942652,1.8410089977944348,Evento 8
2014-01-13 05:02:30,8.06421234981391,48.49263660960978,29.016127057239494,0.8327701515657159,0.0,0.0,9.758311711444616,1.8412415468515018,Evento 8
2014-01-13 05:02:33,8.06597800680304,48.49254478211062,28.644077038338242,0.8375880381156812,0.0,0.0,9.947127499909834,1.8410746040419042,Evento 8
2014-01-13 05:02:36,8.07124874781831,48.49177052399886,28.397245199307132,0.8290009630457851,0.0,0.0,10.011440436206032,1.8414740959085691,Evento 8
2014-01-13 05:02:39,8.077697187146075,48.49225682022284,28.133417913936693,0.8106515838675745,0.0,0.0,10.09305956765249,1.8436754364132084,Evento 8
2014-01-13 05:02:42,8.086523858306675,48.49547526464265,27.76262691263244,0.7910615748774816,0.0,0.0,10.18042475224416,1.8403389033886373,Evento 8
2014-01-13 05:02:45,8.100398346872495,48.49110642486842,27.42536769221469,0.7705809812469333,0.0,0.0,10.243537597689933,1.8394880200955175,Evento 8
2014-01-13 05:02:48,8.120978627416008,48.4626842849311,27.3165419922058,0.7482505194538588,0.0,0.0,10.293330547868486,1.8389082504383585,Evento 8
2014-01-13 05:02:51,8.146689730118808,48.40281889091426,27.438763489091127,0.7288239463121966,0.0,0.0,10.313611215558025,1.8387217000958764,Evento 8
2014-01-13 05:02:54,8.180605997631499,48.316543063615526,27.28599529411191,0.7110990796307071,0.0,0.0,10.260491324594769,1.838036226321869,Evento 8
2014-01-13 05:02:57,8.239146697363573,48.220420203336396,25.96196410494317,0.6931449723740719,0.0,0.0,10.165215402394487,1.837189571193423,Evento 8
2014-01-13 05:03:00,8.334814234433022,48.12622132300926,23.586803709636733,0.6748108534680817,0.0,0.0,10.071057555892477,1.8363513723943246,Evento 8
2014-01-13 05:03:03,8.459824231480885,48.03027423953593,21.051393257411092,0.6571158111398752,0.0,0.0,10.033581091006413,1.835483576442509,Evento 8
2014-01-13 05:03:06,8.590704503939428,47.93578537014807,18.670406651977263,0.6405678069931444,0.0,0.0,10.053654775361242,1.833959903869403,Evento 8
